datasetid,publicationid,primarypub,year,citation,articletitle,journal,volume,issue,pages,doi,url
25635,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25636,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25637,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25638,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25639,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25640,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25641,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25642,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25643,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25644,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25645,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25646,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25647,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25648,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25649,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25650,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25651,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25652,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25653,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25654,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25655,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25656,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25657,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25658,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25659,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25660,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
